,f1-score,precision,recall,support
te03-0024,0.8636363636363636,0.9047619047619048,0.8260869565217391,23.0
te03-0031,0.8,0.8421052631578947,0.7619047619047619,21.0
te03-0032,0.8205128205128205,0.6956521739130435,1.0,16.0
te03-0037,0.8085106382978724,0.8260869565217391,0.7916666666666666,24.0
te03-0041,0.9142857142857143,0.9411764705882353,0.8888888888888888,18.0
te03-0046,0.9743589743589743,1.0,0.95,20.0
te03-0048,0.7272727272727274,0.8888888888888888,0.6153846153846154,13.0
te03-0050,0.9411764705882353,0.8888888888888888,1.0,24.0
te03-0054,0.8979591836734694,0.88,0.9166666666666666,24.0
te03-0062,0.9387755102040817,0.92,0.9583333333333334,24.0
te03-0076,0.8301886792452831,0.7333333333333333,0.9565217391304348,23.0
te03-0080,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
te03-0088,0.846153846153846,0.7333333333333333,1.0,22.0
te03-0091,0.6470588235294117,0.7333333333333333,0.5789473684210527,19.0
te03-0104,0.8717948717948718,0.8095238095238095,0.9444444444444444,18.0
te03-0106,1.0,1.0,1.0,20.0
te03-0112,0.8235294117647058,0.9333333333333333,0.7368421052631579,19.0
te03-0125,0.7741935483870968,0.8571428571428571,0.7058823529411765,17.0
te03-0132,0.8205128205128205,0.8888888888888888,0.7619047619047619,21.0
te03-0137,0.918918918918919,0.9444444444444444,0.8947368421052632,19.0
te03-0145,0.4444444444444444,0.6153846153846154,0.34782608695652173,23.0
te03-0162,0.9787234042553191,1.0,0.9583333333333334,24.0
te03-0193,0.8125,0.8666666666666667,0.7647058823529411,17.0
te03-0195,0.8148148148148148,0.8461538461538461,0.7857142857142857,14.0
te03-0211,0.9056603773584906,0.8275862068965517,1.0,24.0
te03-0213,0.75,0.65625,0.875,24.0
te03-0221,0.8,0.7692307692307693,0.8333333333333334,24.0
te03-0225,0.9285714285714286,0.8666666666666667,1.0,13.0
te03-0230,0.9199999999999999,0.8846153846153846,0.9583333333333334,24.0
te03-0231,0.9565217391304348,1.0,0.9166666666666666,12.0
te03-0240,0.9411764705882353,0.8888888888888888,1.0,16.0
te03-0276,0.923076923076923,0.8571428571428571,1.0,24.0
te03-0286,0.8727272727272727,0.7741935483870968,1.0,24.0
te03-0293,0.8333333333333333,0.9090909090909091,0.7692307692307693,13.0
te03-0313,0.6285714285714286,0.6875,0.5789473684210527,19.0
te03-0317,0.5,1.0,0.3333333333333333,12.0
te03-0324,0.9032258064516129,0.8235294117647058,1.0,14.0
te03-0335,0.8205128205128205,0.8421052631578947,0.8,20.0
te03-0368,0.8571428571428571,1.0,0.75,16.0
te03-0371,0.7142857142857143,0.625,0.8333333333333334,18.0
te03-0383,0.7272727272727273,1.0,0.5714285714285714,14.0
te03-0407,1.0,1.0,1.0,18.0
te03-0416,0.9500000000000001,0.95,0.95,20.0
te03-0422,0.8947368421052632,0.9444444444444444,0.85,20.0
te03-0436,0.967741935483871,0.9375,1.0,15.0
te03-0440,0.9583333333333334,0.92,1.0,23.0
te03-0441,0.8181818181818182,0.782608695652174,0.8571428571428571,21.0
te03-0445,0.41379310344827586,0.8571428571428571,0.2727272727272727,22.0
te03-0460,0.8510638297872342,0.8,0.9090909090909091,22.0
te03-0466,0.8936170212765957,0.9130434782608695,0.875,24.0
te03-0475,0.7272727272727272,0.6666666666666666,0.8,20.0
te03-0480,0.8,0.7692307692307693,0.8333333333333334,24.0
te03-0491,1.0,1.0,1.0,14.0
te03-0492,0.8695652173913043,0.8695652173913043,0.8695652173913043,23.0
te03-0496,1.0,1.0,1.0,20.0
te03-0499,0.8372093023255813,0.72,1.0,18.0
